Date,Color,Breed,Sex,State,Name,DateCreated
1999-02-10,Yellow,Lab,F/S,Lost,Keylee,2005-06-21
1999-02-11,Apricot,Toy Poodle,F,Matched,No Name,2005-06-21
1999-02-11,Brown & White,Setter X,M,Found,No Name,2005-06-21
1999-02-10,Tan & White,Shep X Lab,F/S,Matched,Paka,2005-06-21
1999-02-11,White,Husky X,F,Matched,No Name,2005-06-21
1999-02-08,Tan & White,Staff Terrier,M,Lost,Taz,2005-06-21
1999-02-12,Black & Tan,Rott X   (pup),F,Found,No Name,2005-06-21
1999-02-12,Black & Tan,Bloodhound  X Shep,M,Lost,Diamond,2005-06-21
1999-02-13,Golden,Lab X,M/N,Lost,Browse,2005-06-21
1999-02-12,Black & Tan,Shep X Heeler,F/S,Lost,Georgia,2005-06-21
1999-02-13,Brown & Tan,Shep X Husky,M/N,Lost,Homer,2005-06-21
1999-02-13,Red,Setters (2),M,Found,No Name,2005-06-21
1999-02-13,Black & Tan,Shep  (dog Loose In Area),F/S,Found,No Name,2005-06-21
1999-03-20,Multi Grey,Norweigan Elkhound,F,Lost,Tessa,2005-06-21
1999-02-13,Red,Lab X Visla,F/S,Lost,Angel,2005-06-21
1999-02-14,Light Brown,Lab X,F/S,Lost,Boots,2005-06-21
1999-02-14,Black,Lab,M,Found,No Name,2005-06-21
1999-02-14,Grey & White,Lhasa Apso,F/S,Lost,Velvet,2005-06-21
1999-02-14,Blonde,Samoyed,F/S,Found,No Name,2005-06-21
1999-02-15,Gold & White,Collie X,F/S,Lost,Tochi,2005-06-21
1999-02-16,Black & Tan & White,Lhasa Apso,M/N,Matched,Buddy,2005-06-21
1999-02-16,Grey & Auburn,Husky X Mala,M,Found,No Name,2005-06-21
1999-02-16,Red & Brown,Lab X Setter,F/S,Lost,Angie,2005-06-21
1999-02-17,Beige,Terrier X  (reunited),M/N,Lost,Buddy,2005-06-21
1999-02-17,Tan,Shep X Husky,F/S,Lost,Sheba,2005-06-21
1999-02-17,Black,Labrador,M,Found,No Name,2005-06-21
1999-02-17,Black & Grey,Akita X Malamute,M,Lost,Niko,2005-06-21
1999-02-18,Black,Terrier X,M,Matched,Buddy,2005-06-21
1999-02-18,Black & White,Staffordshire Terrier,M/N,Lost,Woody,2005-06-21
1999-02-18,Black & Tan,Rottweiler,M/N,Lost,Teddy,2005-06-21
1999-02-19,Black,Lab X Pit,F,Lost,Rosie,2005-06-21
1999-02-19,Golden & Grey On Back Haunches,Golden Retriever,M/N,Lost,Charlie,2005-06-21
1999-02-19,Beige,Spaniel X,M/N,Matched,No Name,2005-06-21
1999-02-19,Blue Merle,Blue Heeler X,F/S,Lost,Kita,2005-06-21
1999-02-19,Beige,Sheepdog X,M,Found,No Name,2005-06-21
1999-02-20,Tan,Lab X,M,Found,No Name,2005-06-21
1999-02-21,Brown & Black & White,Collie X Elk X Shep,M,Lost,Bear,2005-06-21
